table with row headers in column A and column headers in rows 3 through 5. (leading dots indicate sub-parts),,,,,,,,,,,,
...45 to 49 years,"1,308,933","1,309,233","1,307,481","1,293,685","1,272,107","1,249,304","1,223,249","1,215,085","1,218,305","1,221,591","1,214,227","1,201,680"
...50 to 54 years,"1,242,326","1,242,546","1,247,154","1,262,965","1,268,199","1,273,039","1,274,999","1,267,860","1,255,253","1,234,349","1,212,339","1,187,113"
...55 to 59 years,"995,521","995,646","1,003,938","1,040,234","1,084,586","1,121,719","1,152,827","1,181,026","1,196,951","1,202,300","1,206,850","1,208,671"
...60 to 64 years,"747,245","747,317","757,700","809,081","832,841","858,939","889,651","922,577","956,174","997,043","1,031,302","1,060,035"
...65 to 69 years,"496,772","496,812","500,208","517,220","556,055","591,765","631,640","675,457","720,195","739,543","761,346","788,098"
...70 to 74 years,"348,684","348,711","351,383","361,511","376,149","394,262","411,097","427,426","442,378","476,416","507,255","541,415"
...75 to 79 years,"234,235","234,279","236,203","245,895","254,045","262,032","271,198","281,033","289,824","301,667","317,004","331,089"
...80 to 84 years,"144,373","144,393","145,462","148,559","152,937","158,455","164,281","170,596","178,405","184,533","190,954","198,073"
...85 years and over,"105,558","105,588","107,007","111,868","117,309","121,520","126,668","132,890","138,066","143,479","149,633","155,893"
,,,,,,,,,,,,
...Under 18 years,"5,309,037","5,309,215","5,295,695","5,240,065","5,193,240","5,163,578","5,153,674","5,145,862","5,135,826","5,121,969","5,091,352","5,068,948"
....Under 5 years,"1,409,024","1,409,030","1,408,882","1,407,392","1,395,523","1,385,218","1,385,436","1,388,909","1,387,518","1,383,386","1,373,132","1,360,183"
....5 to 13 years,"2,596,954","2,596,976","2,595,485","2,585,380","2,582,107","2,580,085","2,561,982","2,552,170","2,556,642","2,563,594","2,566,574","2,568,720"
....14 to 17 years,"1,303,059","1,303,209","1,291,328","1,247,293","1,215,610","1,198,275","1,206,256","1,204,783","1,191,666","1,174,989","1,151,646","1,140,045"
...18 to 64 years,"11,430,252","11,432,582","11,480,221","11,675,815","11,842,800","11,982,595","12,101,545","12,214,944","12,325,090","12,426,244","12,516,998","12,590,896"
....18 to 24 years,"2,193,029","2,193,452","2,212,833","2,289,073","2,349,056","2,376,698","2,365,017","2,328,322","2,283,111","2,234,702","2,196,617","2,160,992"
....25 to 44 years,"4,943,198","4,944,388","4,951,115","4,980,777","5,036,011","5,102,896","5,195,802","5,300,074","5,415,296","5,536,259","5,655,663","5,772,405"
....45 to 64 years,"4,294,025","4,294,742","4,316,273","4,405,965","4,457,733","4,503,001","4,540,726","4,586,548","4,626,683","4,655,283","4,664,718","4,657,499"
...65 years and over,"1,329,622","1,329,783","1,340,263","1,385,053","1,456,495","1,528,034","1,604,884","1,687,402","1,768,868","1,845,638","1,926,192","2,014,568"
...85 years and over,"105,558","105,588","107,007","111,868","117,309","121,520","126,668","132,890","138,066","143,479","149,633","155,893"
,,,,,,,,,,,,
...16 years and over,"13,441,511","13,444,103","13,497,831","13,711,412","13,917,060","14,111,545","14,308,806","14,504,477","14,702,617","14,879,228","15,030,255","15,176,760"
...18 years and over,"12,759,874","12,762,365","12,820,484","13,060,868","13,299,295","13,510,629","13,706,429","13,902,346","14,093,958","14,271,882","14,443,190","14,605,464"
...15 to 44 years,"8,137,014","8,138,753","8,157,172","8,219,283","8,301,595","8,380,536","8,461,639","8,537,025","8,604,280","8,665,104","8,721,008","8,788,422"
,,,,,,,,,,,,
...Median age (years),30.9,30.9,30.9,31.1,31.3,31.5,31.7,31.9,32.1,32.3,32.5,32.7
..FEMALE,"19,853,611","19,854,674","19,897,292","20,078,445","20,263,615","20,443,110","20,628,654","20,814,370","21,001,515","21,174,582","21,326,162","21,473,076"
...Under 5 years,"1,371,293","1,371,300","1,370,668","1,367,401","1,356,736","1,345,441","1,345,324","1,349,038","1,350,761","1,348,226","1,338,744","1,324,206"
...5 to 9 years,"1,366,067","1,366,075","1,362,425","1,356,549","1,366,290","1,381,996","1,387,795","1,389,909","1,388,778","1,380,139","1,369,444","1,369,040"
...10 to 14 years,"1,442,038","1,442,056","1,441,827","1,440,002","1,429,194","1,413,916","1,401,741","1,383,543","1,378,851","1,389,389","1,404,845","1,410,180"
...15 to 19 years,"1,644,738","1,644,835","1,635,501","1,586,807","1,542,955","1,506,579","1,476,933","1,469,442","1,468,662","1,458,332","1,442,310","1,429,443"
...20 to 24 years,"1,525,023","1,525,153","1,540,750","1,604,208","1,658,605","1,693,334","1,699,465","1,669,205","1,621,357","1,578,214","1,541,260","1,510,571"
...25 to 29 years,"1,405,690","1,405,778","1,406,689","1,417,444","1,431,950","1,458,959","1,511,078","1,573,988","1,640,274","1,695,051","1,727,905","1,731,951"
...30 to 34 years,"1,344,412","1,344,511","1,352,897","1,384,227","1,407,331","1,427,304","1,434,458","1,435,434","1,448,464","1,463,866","1,490,801","1,541,900"
...35 to 39 years,"1,351,078","1,351,163","1,346,322","1,313,221","1,305,698","1,310,088","1,334,092","1,369,540","1,402,121","1,425,816","1,445,463","1,452,176"
...40 to 44 years,"1,377,043","1,377,154","1,375,774","1,382,567","1,387,126","1,383,011","1,372,560","1,350,500","1,319,331","1,312,264","1,316,397","1,339,206"
...45 to 49 years,"1,468,338","1,468,422","1,466,257","1,450,532","1,427,686","1,403,207","1,374,356","1,365,834","1,373,955","1,379,000","1,374,808","1,364,444"
...50 to 54 years,"1,409,410","1,409,482","1,414,272","1,431,717","1,437,002","1,444,184","1,446,613","1,438,856","1,424,203","1,402,238","1,378,489","1,350,577"
...55 to 59 years,"1,176,456","1,176,500","1,185,869","1,224,500","1,272,566","1,310,112","1,341,140","1,370,945","1,388,555","1,394,231","1,401,294","1,403,968"
...60 to 64 years,"914,170","914,190","926,969","992,570","1,025,107","1,058,109","1,096,474","1,134,050","1,171,048","1,216,573","1,251,580","1,280,849"
...65 to 69 years,"648,553","648,577","652,812","671,868","719,518","763,093","814,440","870,474","931,399","960,876","991,162","1,026,763"
...70 to 74 years,"490,377","490,404","493,305","506,942","525,501","550,336","573,421","594,593","612,969","656,997","697,357","744,384"
...75 to 79 years,"373,364","373,400","375,301","386,765","395,758","405,302","415,496","428,330","441,362","457,806","480,120","500,691"
...80 to 84 years,"274,042","274,070","275,308","278,020","282,495","288,281","294,325","301,661","311,979","319,617","328,299","337,080"
...85 years and over,"271,519","271,604","274,346","283,105","292,097","299,858","308,943","319,028","327,446","335,947","345,884","355,647"
,,,,,,,,,,,,
...Under 18 years,"5,140,016","5,140,094","5,128,127","5,080,988","5,040,592","5,015,918","5,007,840","5,001,811","4,996,776","4,986,872","4,960,524","4,938,209"
....Under 5 years,"1,371,293","1,371,300","1,370,668","1,367,401","1,356,736","1,345,441","1,345,324","1,349,038","1,350,761","1,348,226","1,338,744","1,324,206"
....5 to 13 years,"2,516,181","2,516,197","2,514,701","2,507,456","2,506,211","2,508,211","2,494,256","2,485,540","2,489,280","2,495,193","2,498,595","2,501,995"
....14 to 17 years,"1,252,542","1,252,597","1,242,758","1,206,131","1,177,645","1,162,266","1,168,260","1,167,233","1,156,735","1,143,453","1,123,185","1,112,008"
...18 to 64 years,"12,655,740","12,656,525","12,698,093","12,870,757","13,007,654","13,120,322","13,214,189","13,298,473","13,379,584","13,456,467","13,522,816","13,570,302"
....18 to 24 years,"2,209,143","2,209,325","2,223,044","2,273,979","2,313,188","2,325,348","2,303,418","2,259,326","2,211,633","2,167,428","2,136,079","2,105,231"
....25 to 44 years,"5,478,223","5,478,606","5,481,682","5,497,459","5,532,105","5,579,362","5,652,188","5,729,462","5,810,190","5,896,997","5,980,566","6,065,233"
....45 to 64 years,"4,968,374","4,968,594","4,993,367","5,099,319","5,162,361","5,215,612","5,258,583","5,309,685","5,357,761","5,392,042","5,406,171","5,399,838"
...65 years and over,"2,057,855","2,058,055","2,071,072","2,126,700","2,215,369","2,306,870","2,406,625","2,514,086","2,625,155","2,731,243","2,842,822","2,964,565"
...85 years and over,"271,519","271,604","274,346","283,105","292,097","299,858","308,943","319,028","327,446","335,947","345,884","355,647"
,,,,,,,,,,,,
...16 years and over,"15,366,626","15,367,641","15,418,276","15,623,972","15,821,318","16,011,507","16,205,057","16,395,541","16,594,030","16,777,348","16,937,873","17,093,031"
...18 years and over,"14,713,595","14,714,580","14,769,165","14,997,457","15,223,023","15,427,192","15,620,814","15,812,559","16,004,739","16,187,710","16,365,638","16,534,867"
...15 to 44 years,"8,647,984","8,648,594","8,657,933","8,688,474","8,733,665","8,779,275","8,828,586","8,868,109","8,900,209","8,933,543","8,964,136","9,005,247"
,,,,,,,,,,,,
...Median age (years),34.3,34.3,34.4,34.6,34.8,35.0,35.2,35.5,35.7,35.9,36.2,36.5
.HISPANIC,"2,328,113","2,328,196","2,341,914","2,404,169","2,469,189","2,534,546","2,601,363","2,669,913","2,738,884","2,805,709","2,871,320","2,927,598"
..Under 5 years,"274,947","274,948","274,197","273,004","271,189","269,204","269,619","271,417","275,784","277,406","276,770","273,769"
..5 to 9 years,"238,609","238,609","240,084","247,494","257,125","267,250","275,028","279,782","278,992","277,669","276,168","276,151"
..10 to 14 years,"221,207","221,211","222,278","227,773","232,724","237,453","242,289","247,767","255,390","265,154","275,539","282,789"
..15 to 19 years,"228,314","228,334","227,978","224,859","223,766","225,118","227,875","232,753","238,702","243,821","248,503","252,768"
..20 to 24 years,"220,816","220,820","222,571","230,487","237,528","241,007","242,578","240,652","237,053","235,797","236,911","238,644"
..25 to 29 years,"206,023","206,033","206,690","210,586","213,499","217,793","224,943","233,469","242,402","249,347","253,068","253,330"
..30 to 34 years,"188,118","188,127","189,968","196,890","203,700","209,735","213,235","215,711","220,132","223,568","228,514","235,339"
..35 to 39 years,"156,981","156,994","158,322","163,978","171,167","178,765","187,097","196,881","204,033","210,767","216,844","219,956"
..40 to 44 years,"139,970","139,975","140,813","145,277","149,889","153,985","158,645","163,426","169,595","176,905","184,610","192,276"
..45 to 49 years,"123,952","123,955","125,053","129,612","133,445","137,156","139,581","143,593","148,231","153,068","157,533","162,012"
..50 to 54 years,"101,435","101,441","102,469","106,953","111,274","116,096","121,726","126,148","130,981","134,884","138,607","140,820"
..55 to 59 years,"74,193","74,200","75,343","80,492","86,149","91,438","96,419","101,974","106,372","110,606","115,478","121,052"
..60 to 64 years,"53,789","53,789","54,924","58,807","62,333","66,069","70,352","74,670","79,837","85,383","90,593","95,300"
..65 to 69 years,"35,412","35,412","35,946","38,960","42,435","45,663","49,329","53,726","57,416","60,815","64,475","68,473"
..70 to 74 years,"25,906","25,906","26,221","27,423","28,738","30,842","32,621","34,681","37,478","40,706","43,719","47,139"
..75 to 79 years,"17,656","17,656","17,910","19,049","20,299","21,557","23,025","24,356","25,543","26,749","28,615","30,122"
..80 to 84 years,"11,611","11,612","11,782","12,479","13,119","13,786","14,448","15,371","16,458","17,617","18,839","20,078"
..85 years and over,"9,174","9,174","9,365","10,046","10,810","11,629","12,553","13,536","14,485","15,447","16,534","17,580"
,,,,,,,,,,,,
..Under 18 years,"867,715","867,732","869,595","880,569","893,508","907,934","924,619","941,038","955,798","968,452","978,119","984,860"
...Under 5 years,"274,947","274,948","274,197","273,004","271,189","269,204","269,619","271,417","275,784","277,406","276,770","273,769"
...5 to 13 years,"416,757","416,758","419,616","431,469","444,944","458,382","469,187","479,179","485,558","493,217","500,394","505,301"
...14 to 17 years,"176,011","176,026","175,782","176,096","177,375","180,348","185,813","190,442","194,456","197,829","200,955","205,790"
..18 to 64 years,"1,360,639","1,360,704","1,371,095","1,415,643","1,460,280","1,503,135","1,544,768","1,587,205","1,631,706","1,675,923","1,721,019","1,759,346"
...18 to 24 years,"316,178","316,190","317,513","323,048","328,824","332,098","332,770","331,333","330,123","331,395","335,772","339,261"
...25 to 44 years,"691,092","691,129","695,793","716,731","738,255","760,278","783,920","809,487","836,162","860,587","883,036","900,901"
...45 to 64 years,"353,369","353,385","357,789","375,864","393,201","410,759","428,078","446,385","465,421","483,941","502,211","519,184"
..65 years and over,"99,759","99,760","101,224","107,957","115,401","123,477","131,976","141,670","151,380","161,334","172,182","183,392"
..85 years and over,"9,174","9,174","9,365","10,046","10,810","11,629","12,553","13,536","14,485","15,447","16,534","17,580"
,,,,,,,,,,,,
..16 years and over,"1,549,566","1,549,639","1,561,505","1,612,753","1,663,935","1,715,268","1,767,737","1,822,394","1,879,881","1,936,195","1,992,794","2,043,267"
..18 years and over,"1,460,398","1,460,464","1,472,319","1,523,600","1,575,681","1,626,612","1,676,744","1,728,875","1,783,086","1,837,257","1,893,201","1,942,738"
..15 to 44 years,"1,140,222","1,140,283","1,146,342","1,172,077","1,199,549","1,226,403","1,254,373","1,282,892","1,311,917","1,340,205","1,368,450","1,392,313"
,,,,,,,,,,,,
..Median age (years),24.5,24.5,24.6,25.0,25.3,25.6,25.9,26.3,26.6,27.0,27.4,27.8
..MALE,"1,136,129","1,136,190","1,143,063","1,174,326","1,207,475","1,240,585","1,274,304","1,309,013","1,343,919","1,377,538","1,410,545","1,438,928"
...Under 5 years,"139,929","139,930","139,527","138,806","137,796","136,688","137,046","137,988","140,415","141,123","140,778","139,174"
...5 to 9 years,"121,187","121,187","122,079","125,682","130,778","135,774","139,643","142,083","141,553","140,872","140,143","140,342"
...10 to 14 years,"112,545","112,549","112,957","115,895","118,313","120,934","123,369","126,156","129,871","135,029","140,168","143,796"
...15 to 19 years,"116,393","116,410","116,439","115,192","114,995","115,388","116,725","119,085","122,130","124,550","127,054","129,188"
...20 to 24 years,"110,163","110,167","111,120","115,529","119,962","122,839","124,236","123,824","122,322","121,878","121,945","122,680"
...25 to 29 years,"100,513","100,516","100,856","103,414","105,174","108,093","112,088","116,843","121,912","126,142","129,127","129,820"
...30 to 34 years,"89,744","89,750","90,674","94,322","98,141","101,090","103,335","104,829","107,879","110,024","113,307","117,236"
...35 to 39 years,"73,368","73,376","74,006","76,832","80,298","84,324","88,700","93,922","97,623","101,367","104,391","106,488"
...40 to 44 years,"66,469","66,472","66,852","68,512","70,550","72,053","73,916","76,028","79,098","82,689","86,745","90,680"
...45 to 49 years,"58,412","58,415","58,955","61,309","62,925","64,833","65,910","67,816","69,489","71,601","73,240","75,111"
...50 to 54 years,"47,772","47,778","48,173","50,187","52,308","54,502","57,193","59,265","61,753","63,293","65,131","66,094"
...55 to 59 years,"34,723","34,729","35,349","37,782","40,455","42,886","44,953","47,449","49,465","51,600","53,882","56,482"
...60 to 64 years,"24,387","24,387","24,899","26,768","28,410","30,159","32,406","34,639","36,970","39,512","41,876","43,828"
...65 to 69 years,"15,538","15,538","15,809","17,115","18,605","20,241","21,823","23,852","25,655","27,244","28,948","31,035"
...70 to 74 years,"10,987","10,987","11,114","11,627","12,280","13,192","14,032","14,936","16,081","17,408","18,914","20,365"
...75 to 79 years,"6,912","6,912","7,016","7,603","8,239","8,714","9,436","10,021","10,546","11,153","11,942","12,654"
...80 to 84 years,"4,194","4,194","4,299","4,572","4,850","5,186","5,447","5,815","6,360","6,934","7,407","8,017"
...85 years and over,"2,893","2,893","2,939","3,179","3,396","3,689","4,046","4,462","4,797","5,119","5,547","5,938"
,,,,,,,,,,,,
...Under 18 years,"441,846","441,862","442,767","447,978","454,703","462,001","470,462","478,645","486,160","492,628","497,592","500,971"
....Under 5 years,"139,929","139,930","139,527","138,806","137,796","136,688","137,046","137,988","140,415","141,123","140,778","139,174"
....5 to 13 years,"211,741","211,742","213,288","219,191","226,258","233,125","238,559","243,558","246,633","250,521","254,226","256,881"
....14 to 17 years,"90,176","90,190","89,952","89,981","90,649","92,188","94,857","97,099","99,112","100,984","102,588","104,916"
...18 to 64 years,"653,759","653,804","659,119","682,252","705,402","727,562","749,058","771,282","794,320","817,052","840,195","859,948"
....18 to 24 years,"158,371","158,381","159,355","163,126","167,141","169,622","170,557","170,491","170,131","170,824","172,496","174,209"
....25 to 44 years,"330,094","330,114","332,388","343,080","354,163","365,560","378,039","391,622","406,512","420,222","433,570","444,224"
....45 to 64 years,"165,294","165,309","167,376","176,046","184,098","192,380","200,462","209,169","217,677","226,006","234,129","241,515"
...65 years and over,"40,524","40,524","41,177","44,096","47,370","51,022","54,784","59,086","63,439","67,858","72,758","78,009"
...85 years and over,"2,893","2,893","2,939","3,179","3,396","3,689","4,046","4,462","4,797","5,119","5,547","5,938"
,,,,,,,,,,,,
...16 years and over,"740,144","740,195","746,138","771,935","797,926","824,062","850,456","878,110","907,130","935,457","963,824","989,350"
...18 years and over,"694,283","694,328","700,296","726,348","752,772","778,584","803,842","830,368","857,759","884,910","912,953","937,957"
...15 to 44 years,"556,650","556,691","559,947","573,801","589,120","603,787","619,000","634,531","650,964","666,650","682,569","696,092"
,,,,,,,,,,,,
...Median age (years),23.5,23.5,23.6,23.9,24.2,24.5,24.8,25.2,25.6,26.0,26.4,26.7
..FEMALE,"1,191,984","1,192,006","1,198,851","1,229,843","1,261,714","1,293,961","1,327,059","1,360,900","1,394,965","1,428,171","1,460,775","1,488,670"
...Under 5 years,"135,018","135,018","134,670","134,198","133,393","132,516","132,573","133,429","135,369","136,283","135,992","134,595"
...5 to 9 years,"117,422","117,422","118,005","121,812","126,347","131,476","135,385","137,699","137,439","136,797","136,025","135,809"
...10 to 14 years,"108,662","108,662","109,321","111,878","114,411","116,519","118,920","121,611","125,519","130,125","135,371","138,993"
...15 to 19 years,"111,921","111,924","111,539","109,667","108,771","109,730","111,150","113,668","116,572","119,271","121,449","123,580"
...20 to 24 years,"110,653","110,653","111,451","114,958","117,566","118,168","118,342","116,828","114,731","113,919","114,966","115,964"
...25 to 29 years,"105,510","105,517","105,834","107,172","108,325","109,700","112,855","116,626","120,490","123,205","123,941","123,510"
...30 to 34 years,"98,374","98,377","99,294","102,568","105,559","108,645","109,900","110,882","112,253","113,544","115,207","118,103"
...35 to 39 years,"83,613","83,618","84,316","87,146","90,869","94,441","98,397","102,959","106,410","109,400","112,453","113,468"
...40 to 44 years,"73,501","73,503","73,961","76,765","79,339","81,932","84,729","87,398","90,497","94,216","97,865","101,596"
...45 to 49 years,"65,540","65,540","66,098","68,303","70,520","72,323","73,671","75,777","78,742","81,467","84,293","86,901"
...50 to 54 years,"53,663","53,663","54,296","56,766","58,966","61,594","64,533","66,883","69,228","71,591","73,476","74,726"
...55 to 59 years,"39,470","39,471","39,994","42,710","45,694","48,552","51,466","54,525","56,907","59,006","61,596","64,570"
...60 to 64 years,"29,402","29,402","30,025","32,039","33,923","35,910","37,946","40,031","42,867","45,871","48,717","51,472"
...65 to 69 years,"19,874","19,874","20,137","21,845","23,830","25,422","27,506","29,874","31,761","33,571","35,527","37,438"
...70 to 74 years,"14,919","14,919","15,107","15,796","16,458","17,650","18,589","19,745","21,397","23,298","24,805","26,774"
...75 to 79 years,"10,744","10,744","10,894","11,446","12,060","12,843","13,589","14,335","14,997","15,596","16,673","17,468"
...80 to 84 years,"7,417","7,418","7,483","7,907","8,269","8,600","9,001","9,556","10,098","10,683","11,432","12,061"
...85 years and over,"6,281","6,281","6,426","6,867","7,414","7,940","8,507","9,074","9,688","10,328","10,987","11,642"
,,,,,,,,,,,,
...Under 18 years,"425,869","425,870","426,828","432,591","438,805","445,933","454,157","462,393","469,638","475,824","480,527","483,889"
....Under 5 years,"135,018","135,018","134,670","134,198","133,393","132,516","132,573","133,429","135,369","136,283","135,992","134,595"
....5 to 13 years,"205,016","205,016","206,328","212,278","218,686","225,257","230,628","235,621","238,925","242,696","246,168","248,420"
....14 to 17 years,"85,835","85,836","85,830","86,115","86,726","88,160","90,956","93,343","95,344","96,845","98,367","100,874"
...18 to 64 years,"706,880","706,900","711,976","733,391","754,878","775,573","795,710","815,923","837,386","858,871","880,824","899,398"
....18 to 24 years,"157,807","157,809","158,158","159,922","161,683","162,476","162,213","160,842","159,992","160,571","163,276","165,052"
....25 to 44 years,"360,998","361,015","363,405","373,651","384,092","394,718","405,881","417,865","429,650","440,365","449,466","456,677"
....45 to 64 years,"188,075","188,076","190,413","199,818","209,103","218,379","227,616","237,216","247,744","257,935","268,082","277,669"
...65 years and over,"59,235","59,236","60,047","63,861","68,031","72,455","77,192","82,584","87,941","93,476","99,424","105,383"
...85 years and over,"6,281","6,281","6,426","6,867","7,414","7,940","8,507","9,074","9,688","10,328","10,987","11,642"
,,,,,,,,,,,,
...16 years and over,"809,422","809,444","815,367","840,818","866,009","891,206","917,281","944,284","972,751","1,000,738","1,028,970","1,053,917"
...18 years and over,"766,115","766,136","772,023","797,252","822,909","848,028","872,902","898,507","925,327","952,347","980,248","1,004,781"
...15 to 44 years,"583,572","583,592","586,395","598,276","610,429","622,616","635,373","648,361","660,953","673,555","685,881","696,221"
,,,,,,,,,,,,
...Median age (years),25.6,25.6,25.7,26.0,26.4,26.7,27.0,27.4,27.7,28.1,28.5,28.9
"Note: The estimates are based on the 2010 Census and reflect changes to the April 1, 2010 population due to the Count Question Resolution program and geographic program revisions. Median age is calculated based on single year of age. Hispanic origin is considered an ethnicity, not a race. Hispanics may be of any race. Responses of ""Some Other Race"" from the 2010 Census are modified. This results in differences between the population for specific race categories shown for the 2010 Census population in this table versus those in the original 2010 Census data. For more information, see https://www2.census.gov/programs-surveys/popest/technical-documentation/methodology/modified-race-summary-file-method/mrsf2010.pdf. For population estimates methodology statements, see http://www.census.gov/programs-surveys/popest/technical-documentation/methodology.html. ",,,,,,,,,,,,
Suggested Citation:,,,,,,,,,,,,
"Annual Estimates of the Resident Population by Sex, Age, Race, and Hispanic Origin for the United States: April 1, 2010 to July 1, 2019 (NC-EST2019-ASR6H)",,,,,,,,,,,,
"Source: U.S. Census Bureau, Population Division",,,,,,,,,,,,
Release Date: June 2020,,,,,,,,,,,,